,index,Unnamed: 0,target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq,ens_gene,ext_gene
10054,2826,2827,F58E10.1c,0.00044497300000000004,0.0033279359999999997,4.022234983,1.145327236,2.4429786019999997,6.461472507000001,1.5166131040000002,0.451048612,0.330207727,0.451048612,WBGene00010259,ric-7
3175,2162,2163,C34E11.3c,7.190000000000001e-05,0.0007027569999999999,4.0259723130000005,1.014127342,1.435376592,3.461464639,0.794948104,0.334318407,0.747733295,0.747733295,WBGene00044079,tag-241
1429,4880,4881,C08E3.10a,0.009600489,0.041569351000000004,4.039259367,1.5596221419999998,1.5588481580000002,5.713582701,1.029752681,2.618879159,0.6764670429999999,2.618879159,WBGene00015602,fbxa-158
7573,975,976,F35E8.10,7.98e-08,1.73e-06,4.044065401,0.753418145,2.912597695,5.226525305,0.21611237,0.635345983,0.227145572,0.635345983,WBGene00009423,F35E8.10
17194,5678,5679,Y39A1A.15c,0.018647957,0.069426617,4.051664343000001,1.7222841759999998,3.32162913,6.155582431,1.086189483,3.363204689,0.164788951,3.363204689,WBGene00000566,cnt-2
6930,2475,2476,F26H11.2e,0.000188719,0.0016115079999999998,4.057703794,1.086790671,3.3994788760000003,3.2470490510000003,1.6164267030000001,-0.263481177,0.155244241,0.155244241,WBGene00009180,nurf-1
8499,4632,4633,F45E10.1d,0.007462895,0.034057412999999995,4.069806292,1.521166884,2.032080878,5.314305026,3.0105154819999997,0.085215999,0.46040755299999997,0.46040755299999997,WBGene00006788,unc-53
10925,4193,4194,K04D7.4a,0.004553616,0.022955912999999998,4.085200576,1.439959714,2.83032836,4.877331617,1.219024581,1.891201387,0.242420584,1.891201387,WBGene00010558,ptp-4
10120,4732,4733,F58H1.7b,0.008265179000000001,0.03691396,4.093677024,1.5500242180000001,2.9361563239999997,5.059398451,1.9743025509999999,1.6295600630000002,0.222959016,1.6295600630000002,WBGene00010290,F58H1.7
13252,3419,3420,T01D3.3b.2,0.001511196,0.009342459000000001,4.09626925,1.291170058,1.2059068240000002,4.109814076,1.600555177,0.259805807,0.9001249990000001,0.9001249990000001,WBGene00011328,T01D3.3
6369,3649,3650,F21C3.1b.1,0.002163126,0.012530132,4.116012577,1.342088861,3.808188999,4.811329149,1.2233869,1.478416867,0.115390458,1.478416867,WBGene00006656,twk-1
5241,5403,5404,F08A8.7.1,0.015260828,0.059707566,4.119207552,1.697851548,3.636344013,10.99283193,2.204563931,2.119485889,0.130344071,2.119485889,WBGene00008569,fbxa-101
9978,3723,3724,F58A3.2d,0.002435498,0.013827535,4.145413181,1.367562524,1.6695871009999999,4.498130987,1.5211717930000002,1.284169092,0.618258716,1.284169092,WBGene00001184,egl-15
2523,5268,5269,C26B2.3c.2,0.01367659,0.054880269,4.1546524819999995,1.68501486,2.975456438,5.612217485,2.279381613,1.979531005,0.216153235,1.979531005,WBGene00003625,nhr-31
16180,777,778,Y105C5A.13a,8.09e-09,2.2e-07,4.182733646,0.7253390209999999,3.5457403469999997,4.553702357,0.270568885,0.518606158,0.13920741,0.518606158,WBGene00013637,Y105C5A.13
15527,3696,3697,W01F3.3g,0.002342605,0.013400793000000001,4.228750788999999,1.3896816159999998,2.337307946,6.307064304,1.275310768,1.621511724,0.35953459600000004,1.621511724,WBGene00012186,mlt-11
1441,424,425,C08F1.11,7.19e-12,3.58e-10,4.231147872,0.617344676,2.8284722060000003,3.772053984,0.13194155800000001,0.439730115,0.242777341,0.439730115,WBGene00044417,C08F1.11
3173,2512,2513,C34E11.3a,0.000210226,0.001768727,4.262716879,1.150096266,3.198864054,3.829445292,1.802717876,-0.146710344,0.181364255,0.181364255,WBGene00044079,tag-241
4389,723,724,C54F6.15,4.0600000000000005e-09,1.1800000000000001e-07,4.266758491,0.725431295,2.017556924,5.729980812999999,0.10781731900000001,0.6815585259999999,0.465873589,0.6815585259999999,WBGene00044113,C54F6.15
19826,2408,2409,Y80D3A.7b,0.000155944,0.001368672,4.277942618,1.131309701,2.696003068,5.241551545,1.650082361,0.213061615,0.26971009999999995,0.26971009999999995,WBGene00004236,ptr-22
15078,500,501,T25C12.4,4.35e-11,1.84e-09,4.320587228,0.65547067,2.153710939,4.384794748,0.227344408,0.27884640899999996,0.41711829100000003,0.41711829100000003,WBGene00044284,spp-21
13456,3729,3730,T04B8.5c.2,0.002461268,0.013951367,4.362420439,1.440663737,2.303321012,6.488660639,2.743731411,-0.001361252,0.369536595,0.369536595,WBGene00020207,T04B8.5
743,3341,3342,C01G6.1a.1,0.0013183029999999998,0.008338075,4.36632098,1.3593923630000002,5.378732791,5.923176013,0.649698355,2.122223039,0.041277519,2.122223039,WBGene00000170,aqp-2
8049,1041,1042,F40H3.4b,1.48e-07,3.01e-06,4.36965292,0.83154155,2.8057481,3.5969194460000002,0.5567619189999999,0.480430106,0.24718969300000002,0.480430106,WBGene00001440,fkh-8
194,1538,1539,B0238.13,4.29e-06,5.9e-05,4.394031309,0.955903845,2.429857179,4.476880106,0.205809975,1.164818267,0.33370893100000004,1.164818267,WBGene00015077,B0238.13
5153,6135,6136,F07A11.6c,0.026282436,0.09056218,4.399542905,1.979980835,3.794150648,7.507377761,2.149267502,3.731218657,0.11653106699999999,3.731218657,WBGene00008549,din-1
20007,4975,4976,ZC123.3b,0.010449103000000001,0.044398188,4.477842664,1.7487461619999998,2.145028784,6.485442936,2.029417172,2.557752538,0.420065865,2.557752538,WBGene00022518,zfh-2
9312,1921,1922,F54C1.5a,2.8199999999999998e-05,0.000309706,4.505091923,1.075738004,1.639950821,3.422575448,1.102484945,-0.392523224,0.633333436,0.633333436,WBGene00001117,dyf-1
1296,264,265,C06H5.14,3.64e-15,2.9e-13,4.506543778999999,0.572861173,2.186600947,6.36881402,0.08611175199999999,0.166068821,0.40614313399999996,0.40614313399999996,WBGene00219447,C06H5.14
1958,4574,4575,C15H9.11.2,0.007105261999999999,0.032830747,4.521847506,1.67981641,2.417053112,6.375689413,0.262540039,3.970134717,0.33716293700000005,3.970134717,WBGene00015805,C15H9.11
13888,421,422,T07H8.5,6.089999999999999e-12,3.05e-10,4.5564662,0.662507806,2.3886944469999998,4.095635178,0.205468667,0.452906223,0.344946855,0.452906223,WBGene00005188,srg-31
4621,3273,3274,D1046.1e.3,0.001167401,0.007538901,4.6029592930000005,1.417722711,1.933442441,4.683935681,2.5160600090000003,-1.572898898,0.49884651700000004,0.49884651700000004,WBGene00008362,cfim-2
13463,2812,2813,T04C12.3.1,0.00043843699999999996,0.00329537,4.603147108,1.309275786,1.489536358,4.776807239,1.855694385,-1.372098606,0.71561024,0.71561024,WBGene00011428,T04C12.3
20604,876,877,ZK355.8,2.6e-08,6.27e-07,4.620441537,0.8300785159999999,3.625994419,5.638581235,0.092393868,0.9411516459999999,0.131319339,0.9411516459999999,WBGene00086560,ZK355.8
16818,1973,1974,Y2H9A.6b,3.4399999999999996e-05,0.00036872,4.633733384,1.11871199,2.173904701,4.6401066239999995,1.4669305330000002,0.005056289,0.410344242,0.410344242,WBGene00086568,Y2H9A.6
10898,952,953,K04A8.8,6.09e-08,1.35e-06,4.686785527,0.865326472,3.2398356639999997,7.6568413710000005,0.149883505,0.973301348,0.175643193,0.973301348,WBGene00005005,spp-20
5233,2797,2798,F08A8.1b.3,0.00042573199999999996,0.003217029,4.713541185,1.337707357,1.656916583,6.075799805,2.059531718,-1.9896413030000002,0.6246597429999999,0.6246597429999999,WBGene00008564,acox-1
5637,2154,2155,F11D5.3a,7.049999999999999e-05,0.0006920539999999999,4.856166643,1.2218416,2.1214445580000003,4.677421095,1.8111646280000002,-0.45462872600000004,0.428180713,0.428180713,WBGene00017381,ddr-2
15941,1062,1063,W06H8.8d,1.7699999999999998e-07,3.53e-06,4.908782759,0.940096776,1.714464101,7.202478136,0.7295674259999999,0.472386751,0.596105497,0.596105497,WBGene00006436,ttn-1
19393,343,344,Y71F9AM.8,2.3100000000000003e-13,1.4199999999999998e-11,4.920186813,0.671289008,3.042608998,5.982535777000001,0.204214704,0.471728695,0.20502060100000002,0.471728695,WBGene00045398,Y71F9AM.8
20949,4455,4456,ZK783.1e,0.006284405,0.029818487999999997,4.9303099889999995,1.8042818409999999,2.8223976439999996,8.617854459,1.4795417,3.403607741,0.24394872399999998,3.403607741,WBGene00022816,fbn-1
5151,5000,5001,F07A11.6a,0.01068118,0.045157407000000004,4.940153676,1.935069067,3.567035017,10.19306819,1.5539269580000001,4.062811484,0.13705631699999998,4.062811484,WBGene00008549,din-1
17363,4713,4714,Y39G10AR.18c.1,0.008110818,0.036378239,5.000860465,1.888955111,4.14103169,9.153218738,0.8931095290000001,4.4591175860000005,0.091678455,4.4591175860000005,WBGene00021474,dot-1.1
8498,3548,3549,F45E10.1b,0.0018339779999999998,0.010925838,5.046643752,1.619653565,1.9810798219999999,6.683169405,2.333099017,1.601817488,0.47989329799999997,1.601817488,WBGene00006788,unc-53
6434,254,255,F21H7.2.2,2e-15,1.66e-13,5.336687272,0.6720059079999999,1.8451225980000001,5.877859327,0.141385936,0.231481712,0.536001975,0.536001975,WBGene00009028,F21H7.2
108,5840,5841,B0041.2c.1,0.02121201,0.076782318,5.471457125,2.374569096,4.120338628,12.76462973,0.9394552820000001,7.518412305,0.092993484,7.518412305,WBGene00015007,ain-2
13659,1553,1554,T05G5.8b.1,4.61e-06,6.27e-05,5.4819168320000005,1.196435431,2.426033217,6.436118698,1.81245003,0.120491414,0.33473658,0.33473658,WBGene00011502,vps-53
4363,1323,1324,C54D10.14a,1.38e-06,2.2100000000000002e-05,5.53824253,1.147168012,2.3430099859999998,7.483243524,1.616107171,-0.254928671,0.35788450200000005,0.35788450200000005,WBGene00138721,C54D10.14
6326,526,527,F20E11.17,7.59e-11,3.05e-09,5.588059082000001,0.858588611,3.0118492669999997,8.872051743,0.119814688,0.985946917,0.210043941,0.985946917,WBGene00050906,F20E11.17
20157,1488,1489,ZC410.4b,3.2e-06,4.55e-05,5.759091741000001,1.236539003,2.134342012,6.727965022999999,1.869819765,-0.42777603399999997,0.423723296,0.423723296,WBGene00006663,twk-8
3206,1864,1865,C34G6.6b,2.3199999999999998e-05,0.00026268,5.917742747999999,1.3983594540000002,3.849723076,8.320417994,1.304232204,1.628881539,0.11209195,1.628881539,WBGene00016422,noah-1
18685,4245,4246,Y55D9A.1d,0.004926807,0.024533085,6.0310837589999995,2.144933845,2.45642695,11.3151925,1.182356673,5.718755128,0.326659173,5.718755128,WBGene00013223,efa-6
14268,108,109,T13B5.5,2.29e-22,4.4299999999999996e-20,6.0448215439999995,0.621368477,3.163762395,7.521686206,0.267724478,0.311423699,0.18641932,0.311423699,WBGene00020472,lips-11
15955,2430,2431,W07B3.2a.1,0.000166935,0.0014518789999999999,6.2485612260000005,1.6598997130000002,2.515717895,8.333928965,2.257001905,1.87589868,0.311483815,1.87589868,WBGene00001561,gei-4
19092,610,611,Y65B4BL.1b,5.94e-10,2.06e-08,6.380660395,1.030478245,3.17887521,8.330523223,1.176116543,0.41671157700000006,0.184225201,0.41671157700000006,WBGene00022033,Y65B4BL.1
